year,month,day,hour,trips,day_of_week,event_of_day
2016,7,22,18,36,6, 
2016,7,22,19,40,6, 
2016,7,22,20,19,6, 
2016,7,22,21,25,6, 
2016,7,22,22,19,6, 
2016,7,22,23,12,6, 
2016,7,22,24,12,6, 
2016,7,23,0,338,7, 
2016,7,23,1,6,7, 
2016,7,23,2,7,7, 
2016,7,23,3,6,7, 
2016,7,23,4,1,7, 
2016,7,23,6,2,7, 
2016,7,23,8,10,7, 
2016,7,23,9,8,7, 
2016,7,23,10,12,7, 
2016,7,23,11,26,7, 
2016,7,23,12,19,7, 
2016,7,23,13,23,7, 
2016,7,23,14,15,7, 
2016,7,23,15,20,7, 
2016,7,23,16,20,7, 
2016,7,23,17,27,7, 
2016,7,23,18,20,7, 
2016,7,23,19,40,7, 
2016,7,23,20,32,7, 
2016,7,23,21,12,7, 
2016,7,23,22,12,7, 
2016,7,23,23,10,7, 
2016,7,23,24,10,7, 
2016,7,24,0,350,1, 
2016,7,24,1,11,1, 
2016,7,24,2,3,1, 
2016,7,24,3,3,1, 
2016,7,24,4,2,1, 
2016,7,24,5,1,1, 
2016,7,24,6,2,1, 
2016,7,24,7,3,1, 
2016,7,24,8,4,1, 
2016,7,24,9,6,1, 
2016,7,24,10,11,1, 
2016,7,24,11,25,1, 
2016,7,24,12,23,1, 
2016,7,24,13,26,1, 
2016,7,24,14,18,1, 
2016,7,24,15,24,1, 
2016,7,24,16,32,1, 
2016,7,24,17,20,1, 
2016,7,24,18,23,1, 
2016,7,24,19,26,1, 
2016,7,24,20,28,1, 
2016,7,24,21,24,1, 
2016,7,24,22,20,1, 
2016,7,24,23,10,1, 
2016,7,24,24,5,1, 
2016,7,25,0,535,2, 
2016,7,25,1,6,2, 
2016,7,25,2,2,2, 
2016,7,25,3,3,2, 
2016,7,25,4,1,2, 
2016,7,25,6,3,2, 
2016,7,25,7,11,2, 
2016,7,25,8,24,2, 
2016,7,25,9,35,2, 
2016,7,25,10,16,2, 
2016,7,25,11,13,2, 
2016,7,25,12,24,2, 
2016,7,25,13,53,2, 
2016,7,25,14,39,2, 
2016,7,25,15,15,2, 
2016,7,25,16,28,2, 
2016,7,25,17,30,2, 
2016,7,25,18,53,2, 
2016,7,25,19,52,2, 
2016,7,25,20,41,2, 
2016,7,25,21,35,2, 
2016,7,25,22,15,2, 
2016,7,25,23,27,2, 
2016,7,25,24,9,2, 
2016,7,26,0,480,3, 
2016,7,26,1,5,3, 
2016,7,26,2,5,3, 
2016,7,26,3,4,3, 
2016,7,26,4,1,3, 
2016,7,26,5,1,3, 
2016,7,26,6,2,3, 
2016,7,26,7,17,3, 
2016,7,26,8,19,3, 
2016,7,26,9,36,3, 
2016,7,26,10,24,3, 
2016,7,26,11,15,3, 
2016,7,26,12,39,3, 
2016,7,26,13,33,3, 
2016,7,26,14,28,3, 
2016,7,26,15,31,3, 
2016,7,26,16,22,3, 
2016,7,26,17,34,3, 
2016,7,26,18,43,3, 
2016,7,26,19,50,3, 
2016,7,26,20,24,3, 
2016,7,26,21,22,3, 
2016,7,26,22,12,3, 
2016,7,26,23,6,3, 
2016,7,26,24,7,3, 
2016,7,27,0,534,4, 
2016,7,27,1,5,4, 
2016,7,27,4,2,4, 
2016,7,27,6,3,4, 
2016,7,27,7,11,4, 
2016,7,27,8,26,4, 
2016,7,27,9,26,4, 
2016,7,27,10,24,4, 
2016,7,27,11,21,4, 
2016,7,27,12,29,4, 
2016,7,27,13,57,4, 
2016,7,27,14,38,4, 
2016,7,27,15,23,4, 
2016,7,27,16,26,4, 
2016,7,27,17,33,4, 
2016,7,27,18,64,4, 
2016,7,27,19,50,4, 
2016,7,27,20,31,4, 
2016,7,27,21,24,4, 
2016,7,27,22,20,4, 
2016,7,27,23,11,4, 
2016,7,27,24,10,4, 
2016,7,28,0,547,5, 
2016,7,28,1,11,5, 
2016,7,28,2,5,5, 
2016,7,28,3,3,5, 
2016,7,28,4,4,5, 
2016,7,28,5,3,5, 
2016,7,28,6,1,5, 
2016,7,28,7,16,5, 
2016,7,28,8,23,5, 
2016,7,28,9,32,5, 
2016,7,28,10,30,5, 
2016,7,28,11,9,5, 
2016,7,28,12,37,5, 
2016,7,28,13,60,5, 
2016,7,28,14,32,5, 
2016,7,28,15,30,5, 
2016,7,28,16,29,5, 
2016,7,28,17,32,5, 
2016,7,28,18,46,5, 
2016,7,28,19,39,5, 
2016,7,28,20,30,5, 
2016,7,28,21,21,5, 
2016,7,28,22,30,5, 
2016,7,28,23,15,5, 
2016,7,28,24,9,5, 
2016,7,29,0,614,6, 
2016,7,29,1,6,6, 
2016,7,29,2,8,6, 
2016,7,29,3,4,6, 
2016,7,29,4,2,6, 
2016,7,29,5,1,6, 
2016,7,29,6,5,6, 
2016,7,29,7,12,6, 
2016,7,29,8,24,6, 
2016,7,29,9,37,6, 
2016,7,29,10,23,6, 
2016,7,29,11,12,6, 
2016,7,29,12,47,6, 
2016,7,29,13,41,6, 
2016,7,29,14,44,6, 
2016,7,29,15,33,6, 
2016,7,29,16,28,6, 
2016,7,29,17,44,6, 
2016,7,29,18,42,6, 
2016,7,29,19,42,6, 
2016,7,29,20,50,6, 
2016,7,29,21,33,6, 
2016,7,29,22,42,6, 
2016,7,29,23,16,6, 
2016,7,29,24,18,6, 
2016,7,30,0,511,7, 
2016,7,30,1,9,7, 
2016,7,30,2,4,7, 
2016,7,30,4,1,7, 
2016,7,30,5,7,7, 
2016,7,30,6,3,7, 
2016,7,30,7,6,7, 
2016,7,30,8,9,7, 
2016,7,30,9,17,7, 
2016,7,30,10,21,7, 
2016,7,30,11,23,7, 
2016,7,30,12,31,7, 
2016,7,30,13,38,7, 
2016,7,30,14,34,7, 
2016,7,30,15,26,7, 
2016,7,30,16,35,7, 
2016,7,30,17,41,7, 
2016,7,30,18,55,7, 
2016,7,30,19,28,7, 
2016,7,30,20,23,7, 
2016,7,30,21,31,7, 
2016,7,30,22,18,7, 
2016,7,30,23,26,7, 
2016,7,30,24,25,7, 
2016,7,31,0,555,1, 
2016,7,31,1,14,1, 
2016,7,31,2,16,1, 
2016,7,31,3,3,1, 
2016,7,31,4,2,1, 
2016,7,31,5,2,1, 
2016,7,31,7,5,1, 
2016,7,31,8,6,1, 
2016,7,31,9,12,1, 
2016,7,31,10,19,1, 
2016,7,31,11,18,1, 
2016,7,31,12,42,1, 
2016,7,31,13,23,1, 
2016,7,31,14,36,1, 
2016,7,31,15,23,1, 
2016,7,31,16,33,1, 
2016,7,31,17,51,1, 
2016,7,31,18,59,1, 
2016,7,31,19,42,1, 
2016,7,31,20,45,1, 
2016,7,31,21,37,1, 
2016,7,31,22,35,1, 
2016,7,31,23,19,1, 
2016,7,31,24,13,1, 
2016,8,0,0,24153,0, 
2016,8,1,0,633,2, 
2016,8,1,1,12,2, 
2016,8,1,2,12,2, 
2016,8,1,3,1,2, 
2016,8,1,4,3,2, 
2016,8,1,6,4,2, 
2016,8,1,7,16,2, 
2016,8,1,8,26,2, 
2016,8,1,9,36,2, 
2016,8,1,10,17,2, 
2016,8,1,11,15,2, 
2016,8,1,12,26,2, 
2016,8,1,13,40,2, 
2016,8,1,14,38,2, 
2016,8,1,15,27,2, 
2016,8,1,16,32,2, 
2016,8,1,17,30,2, 
2016,8,1,18,82,2, 
2016,8,1,19,60,2, 
2016,8,1,20,60,2, 
2016,8,1,21,40,2, 
2016,8,1,22,18,2, 
2016,8,1,23,22,2, 
2016,8,1,24,16,2, 
2016,8,2,0,765,3, 
2016,8,2,1,5,3, 
2016,8,2,2,1,3, 
2016,8,2,3,2,3, 
2016,8,2,4,2,3, 
2016,8,2,5,3,3, 
2016,8,2,6,1,3, 
2016,8,2,7,14,3, 
2016,8,2,8,41,3, 
2016,8,2,9,40,3, 
2016,8,2,10,41,3, 
2016,8,2,11,33,3, 
2016,8,2,12,38,3, 
2016,8,2,13,44,3, 
2016,8,2,14,65,3, 
2016,8,2,15,31,3, 
2016,8,2,16,33,3, 
2016,8,2,17,46,3, 
2016,8,2,18,85,3, 
2016,8,2,19,80,3, 
2016,8,2,20,55,3, 
2016,8,2,21,43,3, 
2016,8,2,22,33,3, 
2016,8,2,23,18,3, 
2016,8,2,24,11,3, 
2016,8,3,0,763,4, 
2016,8,3,1,6,4, 
2016,8,3,2,9,4, 
2016,8,3,3,1,4, 
2016,8,3,4,2,4, 
2016,8,3,5,2,4, 
2016,8,3,6,5,4, 
2016,8,3,7,20,4, 
2016,8,3,8,34,4, 
2016,8,3,9,43,4, 
2016,8,3,10,33,4, 
2016,8,3,11,34,4, 
2016,8,3,12,44,4, 
2016,8,3,13,52,4, 
2016,8,3,14,64,4, 
2016,8,3,15,41,4, 
2016,8,3,16,47,4, 
2016,8,3,17,53,4, 
2016,8,3,18,63,4, 
2016,8,3,19,59,4, 
2016,8,3,20,56,4, 
2016,8,3,21,40,4, 
2016,8,3,22,23,4, 
2016,8,3,23,25,4, 
2016,8,3,24,7,4, 
2016,8,4,0,862,5, 
2016,8,4,1,5,5, 
2016,8,4,2,7,5, 
2016,8,4,3,2,5, 
2016,8,4,4,4,5, 
2016,8,4,5,3,5, 
2016,8,4,6,5,5, 
2016,8,4,7,17,5, 
2016,8,4,8,32,5, 
2016,8,4,9,44,5, 
2016,8,4,10,37,5, 
2016,8,4,11,35,5, 
2016,8,4,12,54,5, 
2016,8,4,13,63,5, 
2016,8,4,14,67,5, 
2016,8,4,15,56,5, 
2016,8,4,16,41,5, 
2016,8,4,17,52,5, 
2016,8,4,18,64,5, 
2016,8,4,19,85,5, 
2016,8,4,20,47,5, 
2016,8,4,21,42,5, 
2016,8,4,22,50,5, 
2016,8,4,23,31,5, 
2016,8,4,24,19,5, 
2016,8,5,0,862,6, 
2016,8,5,1,14,6, 
2016,8,5,2,5,6, 
2016,8,5,3,5,6, 
2016,8,5,4,3,6, 
2016,8,5,5,1,6, 
2016,8,5,6,4,6, 
2016,8,5,7,22,6, 
2016,8,5,8,16,6, 
2016,8,5,9,47,6, 
2016,8,5,10,19,6, 
2016,8,5,11,23,6, 
2016,8,5,12,58,6, 
2016,8,5,13,94,6, 
2016,8,5,14,54,6, 
2016,8,5,15,59,6, 
2016,8,5,16,44,6, 
2016,8,5,17,46,6, 
2016,8,5,18,54,6, 
2016,8,5,19,66,6, 
2016,8,5,20,61,6, 
2016,8,5,21,46,6, 
2016,8,5,22,43,6, 
2016,8,5,23,44,6, 
2016,8,5,24,34,6, 
2016,8,6,0,778,7, 
2016,8,6,1,10,7, 
2016,8,6,2,12,7, 
2016,8,6,3,3,7, 
2016,8,6,4,3,7, 
2016,8,6,6,2,7, 
2016,8,6,7,2,7, 
2016,8,6,8,14,7, 
2016,8,6,9,25,7, 
2016,8,6,10,34,7, 
2016,8,6,11,64,7, 
2016,8,6,12,58,7, 
2016,8,6,13,78,7, 
2016,8,6,14,50,7, 
2016,8,6,15,46,7, 
2016,8,6,16,56,7, 
2016,8,6,17,67,7, 
2016,8,6,18,48,7, 
