year,month,hour,value
2018,11,23,339
2018,12,0,208
2018,12,1,122
2018,12,2,70
2018,12,3,36
2018,12,4,28
2018,12,5,55
2018,12,6,312
2018,12,7,656
2018,12,8,1117
2018,12,9,1116
2018,12,10,1111
2018,12,11,1535
2018,12,12,1600
2018,12,13,1840
2018,12,14,1881
2018,12,15,1795
2018,12,16,1916
2018,12,17,1568
2018,12,18,1162
2018,12,19,981
2018,12,20,659
2018,12,21,501
2018,12,22,408
2018,12,23,312
2019,1,0,151
2019,1,1,83
2019,1,2,61
2019,1,3,31
2019,1,4,20
2019,1,5,62
2019,1,6,324
2019,1,7,737
2019,1,8,1147
2019,1,9,950
2019,1,10,919
2019,1,11,1130
2019,1,12,1407
2019,1,13,1448
2019,1,14,1398
2019,1,15,1580
2019,1,16,1730
2019,1,17,1845
2019,1,18,1343
2019,1,19,1083
2019,1,20,812
2019,1,21,592
2019,1,22,388
2019,1,23,230
2019,2,0,125
2019,2,1,79
2019,2,2,63
2019,2,3,35
2019,2,4,29
2019,2,5,71
2019,2,6,297
2019,2,7,661
2019,2,8,1071
2019,2,9,874
2019,2,10,851
2019,2,11,1060
2019,2,12,1239
2019,2,13,1264
2019,2,14,1205
2019,2,15,1187
2019,2,16,1481
2019,2,17,1673
2019,2,18,1175
2019,2,19,931
2019,2,20,644
2019,2,21,456
2019,2,22,292
2019,2,23,202
2019,3,0,230
2019,3,1,112
2019,3,2,67
2019,3,3,36
2019,3,4,75
2019,3,5,90
2019,3,6,341
2019,3,7,806
2019,3,8,1192
2019,3,9,1089
2019,3,10,976
2019,3,11,1193
2019,3,12,1472
2019,3,13,1550
2019,3,14,1438
2019,3,15,1518
2019,3,16,1710
2019,3,17,1928
2019,3,18,1578
2019,3,19,1283
2019,3,20,851
2019,3,21,633
2019,3,22,436
2019,3,23,318
2019,4,0,144
2019,4,1,76
2019,4,2,51
2019,4,3,40
2019,4,4,37
2019,4,5,84
2019,4,6,379
2019,4,7,853
2019,4,8,1158
2019,4,9,1004
2019,4,10,856
2019,4,11,1046
2019,4,12,1316
2019,4,13,1324
2019,4,14,1213
2019,4,15,1325
2019,4,16,1650
2019,4,17,1780
2019,4,18,1369
2019,4,19,1144
2019,4,20,725
2019,4,21,535
2019,4,22,402
2019,4,23,231
2019,5,0,207
2019,5,1,79
2019,5,2,58
2019,5,3,43
2019,5,4,33
2019,5,5,77
2019,5,6,449
2019,5,7,791
2019,5,8,1032
2019,5,9,835
2019,5,10,804
2019,5,11,1030
2019,5,12,1360
2019,5,13,1375
2019,5,14,1313
2019,5,15,1372
2019,5,16,1652
2019,5,17,1814
2019,5,18,1461
2019,5,19,1129
2019,5,20,771
2019,5,21,519
2019,5,22,436
2019,5,23,282
2019,6,0,285
2019,6,1,210
2019,6,2,112
2019,6,3,64
2019,6,4,45
2019,6,5,125
2019,6,6,512
2019,6,7,1030
2019,6,8,1424
2019,6,9,1137
2019,6,10,1038
2019,6,11,1477
2019,6,12,1954
2019,6,13,1975
2019,6,14,1716
2019,6,15,2004
2019,6,16,2284
2019,6,17,2413
2019,6,18,2142
2019,6,19,1835
2019,6,20,1256
2019,6,21,862
2019,6,22,576
2019,6,23,405
